Master Category,Date,Description,Amount
Groceries,3/4/2013,03/04 Superette Market San Francisco Ca ,13.15
Food/Drink,3/4/2013,03/04 The Little Chihuah San Francisco Ca ,21.70
Shopping,3/4/2013,Radioshack Cor San Francisc Ca,33.15
Shopping,3/4/2013,Haight Ashbury Music C San Francis Ca,59.80
Home,3/4/2013,The Home Depot 1092 Daly City Ca ,95.37
Food/Drink,3/5/2013,03/05 China Fun Express San Francisco Ca,9.10
Food/Drink,3/6/2013,03/06 Chipotle 1857 San Francisco Ca ,8.59
Groceries,3/6/2013,Superette Marke 901 Ha San Franciscoca,13.54
Food/Drink,3/7/2013,03/07 Escape From New Yo 415-4210700 Ca ,9.79
Food/Drink,3/7/2013,03/07 Acme Burgerhaus San Francisco Ca ,22.62
Mortgage / Rent,3/7/2013,Mortgage Payments-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),"$2,536.93"
Food/Drink,3/8/2013,03/08 Lee'S Kitchen San Francisco Ca ,6.80
Food/Drink,3/8/2013,Falletti Foods 308 Bro San Franciscoca ,24.91
Food/Drink,3/8/2013,03/08 Wine Kitchen Llc San Francisco Ca ,43.98
Food/Drink,3/8/2013,03/08 Wine Kitchen Llc San Francisco Ca ,43.98
Cash/ATM,3/8/2013,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,60.00
Auto/Transportation,3/9/2013,03/09 Quality Tune Up 14 San Francisco Ca ,182.82
Food/Drink,3/10/2013,03/10 Pizza Hut 11723 415-928-4300 Ca ,29.96
Food/Drink,3/11/2013,03/11 Falletti Foods San Francisco Ca ,14.93
Food/Drink,3/11/2013,Lucky 756San Fr San Francisc Ca ,19.67
Groceries,3/12/2013,03/12 Superette Market San Francisco Ca ,5.49
Food/Drink,3/12/2013,03/12 El Faro San Francisco Ca ,9.62
Food/Drink,3/13/2013,03/13 Cafe Venue San Francisco Ca ,10.72
Food/Drink,3/14/2013,03/14 Ayola (Kearny) San Francisco Ca ,10.33
Business/Office,3/14/2013,03/14 Sf Hardware San Francisco Ca ,21.32
Entertainment,3/15/2013,03/15 Apl*Apple Itunes S 866-712-7753 Ca ,3.98
Food/Drink,3/15/2013,03/15 Starbucks #00628 S San Francisco Ca ,4.20
Food/Drink,3/15/2013,03/15 Foundation Cafe San Francisco Ca ,10.88
Food/Drink,3/15/2013,03/15 The Little Chihuah San Francisco Ca ,18.49
Groceries,3/15/2013,03/15 Superette Market San Francisco Ca ,27.02
Food/Drink,3/15/2013,03/15 Eat24Hours Com Eat24Hour.Com Ca ,38.72
Auto/Transportation,3/16/2013,03/16 Quality Tune Up 14 San Francisco Ca ,182.82
Food/Drink,3/18/2013,03/18 Kens Kitchen San Francisco Ca ,15.60
Food/Drink,3/18/2013,03/18 Papalote Mexican G San Francisco Ca ,28.94
Cash/ATM,3/18/2013,Atm Withdrawal - 1750 Fulton San Francisco Ca ,60.00
Uncategorized Payments,3/19/2013,Paypal Inst Xfer 130319 ,5.00
Shopping,3/19/2013,Macys Web Pymt Online Pmt 130317 31854 401015012536728 1460358360 31854 0R00000091004455953434,141.58
Credit Card/Loan Payments,3/19/2013,"Acs Express Pay Echeck Pay 130318 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091004455953435",210.31
Credit Card/Loan Payments,3/19/2013,Card Payments (Non-Wf)-Capital One Credit Card,300.00
Food/Drink,3/20/2013,03/20 In-N-Out Burger #2 San Carlos Ca ,5.80
Food/Drink,3/20/2013,Safeway Store 1507 San Franciscoca ,30.35
Auto/Transportation,3/20/2013,03/20 Quality Tune Up 14 San Francisco Ca ,43.20
Miscellaneous,3/20/2013,03/20 St Of Calif Dmv-In 916-6576397 Ca ,118.00
Food/Drink,3/21/2013,03/21 Escape From New Yo 415-4210700 Ca ,7.90
Shopping,3/21/2013,Macy S 428 170 O San Franciscoca ,41.33
Groceries,3/22/2013,03/22 Superette Market San Francisco Ca ,8.48
Food/Drink,3/22/2013,03/22 Shorty Goldsteins San Francisco Ca ,13.05
Food/Drink,3/22/2013,03/22 Ragazza San Francisco Ca ,38.06
Auto/Transportation,3/22/2013,Silver Gas And San Francisc Ca,45.00
Uncategorized Payments,3/22/2013,Paypal Inst Xfer 130322 ,65.00
Uncategorized Payments,3/22/2013,Paypal Inst Xfer 130322 ,65.00
Bills/Utilities,3/22/2013,Other Bills/Utilities-Comcast Cable Communications (16-Digit Account Num,84.63
Shopping,3/22/2013,Macys Web Pymt Online Pmt 130321 32270 401017587517546 1460358360 32270 0R00000091004052446214,140.00
Credit Card/Loan Payments,3/22/2013,Wf Loan/Line Auto Pay 130321 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O00000091004151515055,324.87
Insurance/Financial,3/23/2013,Other Insurance/Financial-State Farm Insurance Companies,29.00
Credit Card/Loan Payments,3/23/2013,Card Payments (Non-Wf)-Citi Cards,100.00
Food/Drink,3/24/2013,03/24 Sq *Oakside Cafe San Francisco Ca ,12.20
Entertainment,3/24/2013,03/24 Truett Hurst Winer Healdsburg Ca ,69.28
Food/Drink,3/24/2013,03/24 J Vineyard & Winer Healdsburg Ca ,79.89
Food/Drink,3/25/2013,Pos Purchase - King Foot Subs San Franciscoca ,13.02
Uncategorized Payments,3/25/2013,Paypal Inst Xfer 130325 ,19.26
Cash/ATM,3/25/2013,Atm Withdrawal - 4 547 Haight Stretoronado-2San Franciscoca ,61.95
Food/Drink,3/26/2013,03/26 Chipotle 1857 San Francisco Ca ,8.59
Shopping,3/26/2013,03/26 Www.Cornhole-Store 513-549-4833 Oh ,23.99
Auto/Transportation,3/27/2013,03/27 Paybyphone Sanfran New York Ny ,1.25
Food/Drink,3/27/2013,03/27 Escape From New Yo 415-4210700 Ca ,3.95
Bills/Utilities,3/27/2013,03/27 Straighttalk*Servi 877-430-2355 Fl ,46.53
Food/Drink,3/28/2013,03/28 Newasia Asian Cuis San Francisco Ca ,7.98
Groceries,3/28/2013,03/28 Superette Market San Francisco Ca ,12.22
Food/Drink,3/28/2013,03/28 Sushi Raw 3 San Francisco Ca ,42.72
Food/Drink,3/29/2013,03/29 Jimmy Johns - 1489 San Francisco Ca ,6.00
Food/Drink,3/31/2013,03/31 Burger Urge San Francisco Ca ,28.38
Auto/Transportation,4/1/2013,04/01 Paybyphone Sanfran New York Ny ,1.45
Cash/ATM,4/1/2013,Atm Withdrawal - 4 547 Haight Stretoronado-2San Franciscoca ,61.95
Food/Drink,4/2/2013,04/02 Pasilla Inc. San Francisco Ca ,7.88
Business/Office,4/2/2013,Searchtech Limit Iat Paypal 130402 ,11.00
Personal Care,4/2/2013,04/02 Shine Hair Styles San Francisco Ca ,20.00
Insurance/Financial,4/2/2013,Other Insurance/Financial-State Farm Insurance Companies,47.85
Food/Drink,4/3/2013,04/03 Super Duper Burger San Francisco Ca ,10.60
Bills/Utilities,4/3/2013,Gas/Electric-Pacific Gas & Electric (Pg&E),40.31
Food/Drink,4/4/2013,04/04 Escape From New Yo 415-4210700 Ca ,9.79
Auto/Transportation,4/4/2013,04/04 76 10093623 San Francisco Ca ,49.33
Mortgage / Rent,4/4/2013,Mortgage Payments-Jackson Square West Hoa,333.00
Food/Drink,4/5/2013,04/05 Bistro 69 San Francisco Ca ,10.85
Food/Drink,4/5/2013,Pos Purchase - Safeway Store 1507 San Franciscoca ,43.87
Groceries,4/6/2013,04/06 Superette Market San Francisco Ca ,11.16
Food/Drink,4/6/2013,04/06 Central Kitchen San Francisco Ca ,19.63
Cash/ATM,4/8/2013,Atm Withdrawal - 1 Montgomery St San Francisco Ca,20.00
Cash/ATM,4/8/2013,Atm Withdrawal - 4 846 Divisadero Pai Atm San Franciscoca ,60.25
Business/Office,4/8/2013,04/08 Axis Appraisals Ma San Rafael Ca ,500.00
Food/Drink,4/9/2013,04/09 Jimmy Johns - 1489 San Francisco Ca ,7.00
Food/Drink,4/10/2013,04/10 Sq *Reza Khajenour San Francisco Ca ,15.14
Shopping,4/10/2013,04/10 Cresalia Jewelers San Francisco Ca ,25.00
Cash/ATM,4/10/2013,Atm Withdrawal - 1 Montgomery St San Francisco Ca 4992 0008096,40.00
Mortgage / Rent,4/10/2013,Mortgage Payments-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),"$2,536.93"
Food/Drink,4/11/2013,04/11 Newasia Asian Cuis San Francisco Ca ,7.98
Food/Drink,4/12/2013,04/12 Jimmy Johns - 1489 San Francisco Ca ,6.00
Cash/ATM,4/12/2013,Atm Withdrawal - San Francisco Divisad San Francisco Ca 4992 0007877,60.00
Food/Drink,4/13/2013,04/13 Central Kitchen San Francisco Ca ,16.87
Groceries,4/14/2013,04/14 Superette Market San Francisco Ca ,4.75
Food/Drink,4/14/2013,04/14 Greenburgers San Francisco Ca ,32.03
Food/Drink,4/15/2013,Pos Purchase - King Foot Subs San Franciscoca ,13.02
Cash/ATM,4/15/2013,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,40.00
Food/Drink,4/16/2013,04/16 Chipotle 1857 San Francisco Ca ,8.59
Groceries,4/16/2013,04/16 Superette Market San Francisco Ca ,21.00
Food/Drink,4/17/2013,04/17 Starbucks #00628 S San Francisco Ca ,4.90
Food/Drink,4/17/2013,04/17 Lee'S Deli-Montgom San Francisco Ca ,6.71
Credit Card/Loan Payments,4/17/2013,Card Payments (Non-Wf)-Capital One Credit Card,30.00
Food/Drink,4/17/2013,04/17 Patxi'S Pizza-Haye San Francisco Ca ,33.17
Bills/Utilities,4/17/2013,Other Bills/Utilities-Comcast Cable Communications (16-Digit Account Num,85.23
Credit Card/Loan Payments,4/17/2013,Card Payments (Non-Wf)-Citi Cards,100.00
Credit Card/Loan Payments,4/17/2013,"Acs Express Pay Echeck Pay 130416 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091004054723916",210.31
Food/Drink,4/18/2013,04/18 Mcdonald'S F10162 San Francisco Ca ,10.08
Food/Drink,4/18/2013,04/18 Ayola (Kearny) San Francisco Ca ,10.33
Food/Drink,4/19/2013,04/19 Yoppi Yogurt San Francisco Ca ,5.22
Food/Drink,4/19/2013,04/19 Sq *Reza Khajenour San Francisco Ca ,11.39
Groceries,4/19/2013,04/19 Superette Market San Francisco Ca ,25.40
Uncategorized Payments,4/19/2013,Paypal Inst Xfer 130418 4Jt226Yk5Ka3A Travis Lawrence Paypalsi66 4Jt226Yk5Ka3A 0O00000091004452136158,35.00
Cash/ATM,4/19/2013,Atm Withdrawal - 1 Montgomery St San Francisco Ca ,60.00
Health,4/19/2013,04/19 Svetlana Yesin D.D San Francisco Ca ,126.00
Food/Drink,4/20/2013,04/20 Jamba Juice #68 San Francisco Ca ,9.28
Food/Drink,4/20/2013,04/20 Indian Oven San Francisco Ca ,40.90
Food/Drink,4/21/2013,04/21 Falletti Foods San Francisco Ca ,15.98
Cash/ATM,4/22/2013,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,60.00
Groceries,4/22/2013,Trader Joe S 100 San Francisc Ca ,115.95
Credit Card/Loan Payments,4/22/2013,Wf Loan/Line Auto Pay 130419 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O00000091003757698150,324.87
Insurance/Financial,4/23/2013,Other Insurance/Financial-State Farm Insurance Companies,29.00
Entertainment,4/25/2013,04/25 Apl*Apple Itunes S 866-712-7753 Ca,0.99
Food/Drink,4/27/2013,04/27 Memphis Minnie'S B San Francisco Ca ,11.91
Food/Drink,4/27/2013,04/27 Pizza Hut 11723 415-928-4300 Ca ,19.24
Food/Drink,4/29/2013,04/29 Miyabi Sushi 2 Go San Francisco Ca ,9.52
Uncategorized Payments,4/29/2013,Paypal Inst Xfer 130429 J22222229Pjc6 Travis Lawrence Paypalsi66 J22222229Pjc6 0O00000091003758485753,26.99
Groceries,4/30/2013,04/30 Superette Market San Francisco Ca ,6.54
Food/Drink,4/30/2013,04/30 Chipotle 1857 San Francisco Ca ,7.12
Food/Drink,5/1/2013,05/01 Jimmy Johns - 1489 San Francisco Ca ,7.00
Insurance/Financial,5/1/2013,Other Insurance/Financial-State Farm Insurance Companies,47.85
Business/Office,5/2/2013,Searchtech Limit Iat Paypal 130502 4Jt226Zy9Bd5S Travis Lawrence 770510487C 4Jt226Zy9Bd5S 0O00000091004559048635,11.00
Bills/Utilities,5/2/2013,Gas/Electric-Pacific Gas & Electric (Pg&E),32.09
Groceries,5/3/2013,05/03 Superette Market San Francisco Ca ,16.82
Food/Drink,5/4/2013,05/04 Patxi'S Pizza-Haye San Francisco Ca ,38.89
Food/Drink,5/6/2013,05/06 Chipotle 1857 San Francisco Ca ,9.03
Food/Drink,5/6/2013,Falletti Foods 308 Bro San Franciscoca ,24.48
Food/Drink,5/6/2013,Safeway Store 1507 San Franciscoca ,57.83
Food/Drink,5/7/2013,05/07 Pasilla Inc. San Francisco Ca ,8.16
Mortgage / Rent,5/7/2013,Mortgage Payments-Jackson Square West Hoa,333.00
Mortgage / Rent,5/7/2013,Mortgage Payments-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),"$2,536.93"
Food/Drink,5/9/2013,05/09 Escape From New Yo 415-4210700 Ca ,10.05
Food/Drink,5/9/2013,05/09 The Little Chihuah San Francisco Ca ,19.80
Food/Drink,5/10/2013,05/10 Mad Dog In The Fog San Francisco Ca ,27.37
Food/Drink,5/10/2013,05/10 Wonderland Restaur 415-6695157 Ca ,32.04
Food/Drink,5/11/2013,05/11 Sq *Oakside Cafe San Francisco Ca,10.00
Food/Drink,5/11/2013,05/11 Falletti Foods San Francisco Ca,12.29
Bills/Utilities,5/11/2013,05/11 Straighttalk*Airti 877-430-2355 Fl ,46.54
Food/Drink,5/13/2013,05/13 Chipotle 1857 San Francisco Ca,7.12
Food/Drink,5/13/2013,Falletti Foods 308 Bro San Franciscoca,17.65
Food/Drink,5/14/2013,05/14 Lee'S Kitchen San Francisco Ca ,6.80
Food/Drink,5/15/2013,05/15 Lee'S Deli-Montgom San Francisco Ca,6.71
Food/Drink,5/16/2013,05/16 El Faro San Francisco Ca,8.10
Food/Drink,5/17/2013,05/17 Jimmy Johns - 1489 San Francisco Ca,6.00
Food/Drink,5/17/2013,05/17 Jimmy Johns - 1489 San Francisco Ca ,6.00
Food/Drink,5/17/2013,05/17 The Little Chihuah San Francisco Ca,21.48
Cash/ATM,5/17/2013,Atm Withdrawal - Sf State San Francisco Ca,40.00
Food/Drink,5/17/2013,05/17 The House San Francisco Ca,59.98
Food/Drink,5/18/2013,05/18 Magnolia Gastropub San Francisco Ca,17.00
Food/Drink,5/20/2013,Haight Street Market I San Francisc Ca,17.03
Food/Drink,5/20/2013,Safeway Store 1507 San Franciscoca,28.28
Groceries,5/21/2013,05/21 Superette Market San Francisco Ca ,6.53
Food/Drink,5/21/2013,05/21 Pasilla Inc. San Francisco Ca ,8.16
Food/Drink,5/22/2013,05/22 Working Girls Cafe San Francisco Ca ,11.02
Credit Card/Loan Payments,5/22/2013,Card Payments (Non-Wf)-Capital One Credit Card,30.00
Bills/Utilities,5/22/2013,Other Bills/Utilities-Comcast Cable Communications (16-Digit Account Num,85.23
Credit Card/Loan Payments,5/22/2013,Wf Loan/Line Auto Pay 130521 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O00000091004555695095,324.87
Food/Drink,5/23/2013,05/23 Lee'S Deli-Montgom San Francisco Ca ,7.80
Food/Drink,5/24/2013,05/24 Escape From New Yo 415-4210700 Ca ,9.25
Auto/Transportation,5/24/2013,Bart Clipper Mo San Franciscoca ,20.00
Food/Drink,5/26/2013,05/26 Ace Hotel Food And Palm Ca ,21.00
Food/Drink,5/27/2013,05/27 China Fun Express San Francisco Ca ,8.35
Food/Drink,5/28/2013,05/28 Chipotle 1857 San Francisco Ca ,7.12
Food/Drink,5/29/2013,05/29 Pasilla Inc. San Francisco Ca ,8.97
Food/Drink,5/30/2013,05/30 Sushi Rock San Francisco Ca ,10.07
Groceries,5/30/2013,05/30 Superette Market San Francisco Ca ,10.53
Food/Drink,5/30/2013,Safeway Store 1507 San Franciscoca ,168.93
Insurance/Financial,5/31/2013,Other Insurance/Financial-State Farm Insurance Companies,47.85
Credit Card/Loan Payments,5/31/2013,Card Payments (Non-Wf)-Citi Cards,100.00
Groceries,6/1/2013,06/01 Superette Market San Francisco Ca ,14.76
Food/Drink,6/1/2013,06/01 Murphys San Francisco Ca ,21.00
Bills/Utilities,6/1/2013,Gas/Electric-Pacific Gas & Electric (Pg&E),32.22
Food/Drink,6/3/2013,Pos Purchase - Lucky 756San Fr San Francisc Ca ,16.95
Credit Card/Loan Payments,6/3/2013,"Acs Express Pay Echeck Pay 130531 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091004158288663",210.31
Food/Drink,6/4/2013,06/04 Ayola (Kearny) San Francisco Ca ,10.33
Food/Drink,6/4/2013,06/04 The Little Chihuah San Francisco Ca ,19.47
Mortgage / Rent,6/4/2013,Mortgage Payments-Jackson Square West Hoa,333.00
Mortgage / Rent,6/4/2013,Mortgage Payments-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),"$2,539.24"
Food/Drink,6/5/2013,06/05 Jimmy Johns - 1489 San Francisco Ca ,8.00
Groceries,6/5/2013,Pos Purchase - Superette Marke 901 Ha San Franciscoca ,9.24
Food/Drink,6/6/2013,06/06 Escape From New Yo 415-4210700 Ca ,7.90
Food/Drink,6/7/2013,Pos Purchase - Safeway Store 1507 San Franciscoca ,11.07
Food/Drink,6/7/2013,06/07 Wonderland Restaur 415-6695157 Ca ,33.44
Credit Card/Loan Payments,6/8/2013,Card Payments (Non-Wf)-Capital One Credit Card,"$2,923.07"
Groceries,6/9/2013,06/09 Superette Market San Francisco Ca ,14.95
Food/Drink,6/9/2013,06/09 Burgermeister Cast San Francisco Ca ,24.20
Groceries,6/10/2013,06/10 Superette Market San Francisco Ca ,7.83
Groceries,6/10/2013,06/10 Superette Market San Francisco Ca ,7.83
Food/Drink,6/10/2013,06/10 Pasilla Inc. San Francisco Ca ,10.06
Food/Drink,6/10/2013,06/10 Pasilla Inc. San Francisco Ca ,10.06
Food/Drink,6/10/2013,Pos Purchase - Falletti Foods 308 Bro San Franciscoca ,32.61
Food/Drink,6/10/2013,Falletti Foods 308 Bro San Franciscoca ,32.61
Bills/Utilities,6/10/2013,Straighttalk*Servi 877-430-2355 Fl ,46.53
Bills/Utilities,6/10/2013,Straighttalk*Servi 877-430-2355 Fl ,46.53
Groceries,6/10/2013,Pos Purchase - Trader Joe S 100 San Francisc Ca ,101.65
Groceries,6/10/2013,Trader Joe S 100 San Francisc Ca ,101.65
Food/Drink,6/11/2013,Chipotle 1857 San Francisco Ca,7.12
Food/Drink,6/11/2013,Chipotle 1857 San Francisco Ca ,7.12
Food/Drink,6/12/2013,Lee'S Deli-Montgom San Francisco Ca ,6.71
Food/Drink,6/13/2013,Lee'S Deli-Montgom San Francisco Ca ,6.71
Food/Drink,6/14/2013,Jimmy Johns - 1489 San Francisco Ca ,6.50
Uncategorized Payments,6/14/2013,Check,"$5,000.00"
Miscellaneous,6/15/2013,Commteachercredent 866-2551857 Ca ,44.50
Food/Drink,6/17/2013,Home Service Ma San Franciscoca ,9.00
Personal Care,6/17/2013,Shine Hair Styles San Francisco Ca ,21.00
Food/Drink,6/17/2013,Safeway Store 1507 San Franciscoca ,54.35
Food/Drink,6/18/2013,Escape From New Yo 415-4210700 Ca ,5.00
Food/Drink,6/18/2013,Taqueria Mana San Francisco Ca ,10.88
Food/Drink,6/19/2013,Pasilla Inc. San Francisco Ca ,8.16
Food/Drink,6/19/2013,Lotus Lunchbox San Francisco Ca ,8.70
Food/Drink,6/20/2013,Chipotle 1857 San Francisco Ca ,8.59
Outgoing Transfers,6/20/2013,Recurring Transfer To Lawrence T Savings Ref #Opemww2Mym Xxxxxx7150,50.00
Cash/ATM,6/21/2013,Atm Withdrawal - 1160 Grant Ave San Francisco Ca ,40.00
Food/Drink,6/23/2013,Sq *Sightglass Cof San Francisco Ca ,36.00
Health,6/24/2013,Walgreens 199 Parnassu San Franciscoca ,22.37
Credit Card/Loan Payments,6/24/2013,Wf Loan/Line Auto Pay 130621 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O00000091004550649296,324.87
Food/Drink,6/25/2013,Jimmy Johns - 1489 San Francisco Ca ,9.00
Auto/Transportation,6/26/2013,Bart Clipper Mo San Franciscoca ,20.00
Food/Drink,6/26/2013,Ikes Lair Walnut C Walnut Creek Ca ,26.82
Auto/Transportation,6/26/2013,Shell Service Station San Franciscoca ,47.39
Business/Office,6/27/2013,Sf Hardware San Francisco Ca ,20.65
Food/Drink,6/28/2013,Pasilla Inc. San Francisco Ca ,9.52
Groceries,6/28/2013,Superette Market San Francisco Ca ,14.14
Food/Drink,6/28/2013,Escape Frm New Yrk San Francisco Ca ,36.07
Bills/Utilities,6/28/2013,Other Bills/Utilities-Comcast Cable Communications -16-Digit Account Numbers,85.23
Credit Card/Loan Payments,6/28/2013,Card Payments (Non-Wf)-Citi Cards,100.00
Credit Card/Loan Payments,6/28/2013,"Acs Express Pay Echeck Pay 130627 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091004157653280",210.31
Groceries,6/29/2013,Superette Market San Francisco Ca ,17.71
Groceries,6/29/2013,Superette Market San Francisco Ca ,20.42
Food/Drink,6/29/2013,Silver Cloud Resta San Francisco Ca ,23.00
Insurance/Financial,6/29/2013,Other Insurance/Financial-State Farm Insurance Companies,47.85
Travel,6/30/2013,Yellow Card Servic San Francisco Ca ,16.70
Food/Drink,6/30/2013,Wonderland Restaur 415-6695157 Ca ,34.63
Food/Drink,7/1/2013,Lee'S Deli-Montgom San Francisco Ca ,6.71
Cash/ATM,7/1/2013,Atm Withdrawal - 2055 Chestnut St San Francisco Ca ,60.00
Business/Office,7/2/2013,Searchtech Limit Iat Paypal 130702 4Jt2277Yja4T6 Travis Lawrence 770510487C 4Jt2277Yja4T6 0O00000091004050176352,0.05
Food/Drink,7/2/2013,Chipotle 1857 San Francisco Ca ,8.59
Bills/Utilities,7/2/2013,Other Home-Pacific Gas & Electric -Pg&E,34.35
Food/Drink,7/3/2013,Sq *Oakside Cafe San Francisco Ca ,6.10
Groceries,7/3/2013,Superette Market San Francisco Ca ,14.68
Outgoing Transfers,7/3/2013,Online Transfer To Lawrence T Complete Advantage(Rm) Xxxxxx5384 Ref #Ibeg4Wjxr5 On 07/03/2013,57.00
Entertainment,7/5/2013,Peachy Canyon Wine Templeton Ca ,24.83
Bills/Utilities,7/5/2013,Vesta *At&T 866-608-3007 Or ,45.00
Auto/Transportation,7/5/2013,Chevron Rc Mini Mart Gonzales Ca ,46.11
Uncategorized Payments,7/8/2013,Cal State Auto A Payment 130705 Csaa/Officialpa Travis Lawrence 4940361645 Csaa/Officialpa 0R00000091004557261409,57.00
Mortgage / Rent,7/9/2013,Mortgage Payments-Jackson Square West Hoa,333.00
Mortgage / Rent,7/9/2013,Mortgage Payments-Wells Fargo Home Mortgage-708 -First 3 Digits On Payment Coupon,"$2,539.24"
Cash/ATM,7/10/2013,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,60.00
Groceries,7/12/2013,Trader Joe S 078 San Francisc Ca ,61.55
Groceries,7/13/2013,Superette Market San Francisco Ca,4.54
Food/Drink,7/13/2013,Escape Frm New Yrk San Francisco Ca,29.32
Credit Card/Loan Payments,7/13/2013,Card Payments (Non-Wf)-Capital One Credit Card,42.00
Credit Card/Loan Payments,7/13/2013,Card Payments (Non-Wf)-Bank Of America Credit Card,49.00
Food/Drink,7/15/2013,Falletti Foods 308 Bro San Franciscoca,27.48
Uncategorized Payments,7/16/2013,Unblockus Inc. Iat Paypal 130716 4Jt2279Cjy28L Travis Lawrence 770510487C 4Jt2279Cjy28L 0O00000091004054552545,4.91
Groceries,7/16/2013,Superette Market San Francisco Ca ,14.45
Food/Drink,7/17/2013,La Boulange Du Dom San Francisco Ca ,9.79
Food/Drink,7/17/2013,The Little Chihuah San Francisco Ca ,11.37
Bills/Utilities,7/17/2013,Other Bills/Utilities-Comcast Cable Communications -16-Digit Account Numbers,85.23
Food/Drink,7/18/2013,King Foot Subs San Franciscoca ,7.55
Auto/Transportation,7/19/2013,South Tahoe Swi South Lake T Ca ,37.66
Auto/Transportation,7/19/2013,Chevron 00308333 Rancho Cordov Ca ,46.59
Auto/Transportation,7/20/2013,Recur Debit Crd Pmt07/20 Fastrak Csc 4154868655 Ca ,30.00
Food/Drink,7/21/2013,In-N-Out Burger #1 Davis Ca ,13.88
Food/Drink,7/22/2013,The Crepe House #3 San Francisco Ca ,5.44
Auto/Transportation,7/22/2013,Chevron Hbs Inc Vacaville Ca ,39.78
Outgoing Transfers,7/22/2013,Recurring Transfer To Lawrence T Savings Ref #Opemx5S9Cq Xxxxxx7150,50.00
